date,open,high,low,close,volume,amount
2014-07-28,2369.38,2410.28,2368.67,2409.37,60540854.0,42091388672.0
2014-07-29,2416.11,2443.38,2407.0,2433.99,44555837.0,32320288768.0
2014-07-30,2423.58,2435.47,2412.29,2423.9,40769683.0,28856006656.0
2014-07-31,2419.49,2450.5,2418.19,2450.5,30855960.0,22070982656.0
2014-08-01,2440.7,2467.8,2426.98,2432.27,43127887.0,29630234368.0
2014-08-04,2435.48,2472.02,2433.43,2471.8,40890574.0,28890007296.0
2014-08-05,2472.25,2475.32,2454.92,2471.4,34214211.0,25093479936.0
2014-08-06,2462.14,2485.48,2447.07,2478.58,33634039.0,24543797760.0
2014-08-07,2477.42,2484.58,2445.4,2447.29,32345587.0,23381633280.0
2014-08-08,2444.41,2459.42,2438.09,2452.53,25915325.0,18505422848.0
2014-08-11,2455.19,2495.59,2455.19,2495.59,27995774.0,20765991424.0
2014-08-12,2494.06,2498.58,2484.49,2498.14,25343591.0,19513420544.0
2014-08-13,2499.32,2511.71,2474.93,2503.21,30767562.0,22820492288.0
2014-08-14,2501.06,2514.64,2479.87,2483.61,28454770.0,22117400576.0
2014-08-15,2480.64,2504.63,2471.97,2501.63,25780320.0,20371087360.0
2014-08-18,2502.97,2520.74,2502.97,2520.74,26498814.0,20221901568.0
2014-08-19,2523.69,2523.88,2501.54,2520.11,29835627.0,21929288448.0
2014-08-20,2512.55,2517.7,2499.54,2505.37,25775049.0,18703536640.0
2014-08-21,2505.35,2507.19,2461.38,2484.31,26035140.0,19498515456.0
2014-08-22,2481.62,2497.11,2473.97,2494.78,23933511.0,17403221760.0
2014-08-25,2494.17,2494.66,2471.52,2477.73,25586023.0,18055906048.0
2014-08-26,2472.83,2486.58,2443.54,2453.83,24629663.0,17885167872.0
2014-08-27,2451.58,2459.63,2445.28,2455.42,15803200.0,11303664128.0
2014-08-28,2455.61,2457.41,2424.7,2431.74,19888517.0,13729697024.0
2014-08-29,2434.0,2463.57,2432.43,2462.89,16425566.0,11754751488.0
2014-09-01,2464.21,2489.56,2463.42,2489.37,21173851.0,15108328192.0
2014-09-02,2493.0,2522.99,2488.12,2522.32,32899944.0,23829896704.0
2014-09-03,2526.78,2544.96,2526.62,2541.32,36217457.0,26347800832.0
2014-09-04,2540.64,2558.14,2534.17,2557.47,32437201.0,24290590208.0
2014-09-05,2563.02,2578.58,2557.47,2576.95,38487380.0,28575611392.0
2014-09-09,2581.67,2588.72,2568.26,2584.56,29828334.0,22973362176.0
2014-09-10,2577.54,2580.2,2561.86,2576.88,28473703.0,21404142080.0
2014-09-11,2575.21,2605.14,2557.83,2568.82,35906659.0,26488182272.0
2014-09-12,2564.07,2585.53,2555.04,2585.53,26928560.0,19308602112.0
2014-09-15,2585.06,2598.87,2576.41,2598.57,32538828.0,23404895232.0
2014-09-16,2597.37,2605.59,2541.02,2542.44,52582382.0,34744611584.0
2014-09-17,2541.67,2550.94,2518.69,2550.39,33642242.0,21890517248.0
2014-09-18,2548.32,2565.74,2538.97,2563.52,36207413.0,23787337216.0
2014-09-19,2563.08,2583.99,2556.41,2583.85,30566971.0,21491696640.0
2014-09-22,2577.49,2577.51,2537.7,2544.38,32146443.0,22246568192.0
2014-09-23,2543.97,2565.92,2543.75,2565.65,24758593.0,17216469504.0
2014-09-24,2559.65,2604.45,2555.53,2603.93,40988474.0,29511288064.0
2014-09-25,2611.23,2626.09,2593.47,2602.48,40067880.0,28655453696.0
2014-09-26,2596.77,2608.38,2587.93,2605.59,26019477.0,19336671744.0
2014-09-29,2611.6,2627.1,2609.86,2626.36,33170435.0,24408665088.0
2014-09-30,2629.77,2633.49,2619.86,2629.08,29248885.0,21513685248.0
2014-10-08,2635.47,2648.56,2621.99,2648.56,34424022.0,25436999936.0
2014-10-09,2649.47,2660.85,2631.71,2660.51,36979738.0,28088994560.0
2014-10-10,2653.56,2658.98,2632.09,2644.9,35319145.0,27472732416.0
2014-10-13,2632.46,2632.71,2600.47,2631.66,32800879.0,23694462464.0
2014-10-14,2626.15,2648.92,2610.15,2623.58,32325204.0,22834902272.0
2014-10-15,2622.24,2641.96,2610.1,2641.37,38583200.0,28098664448.0
2014-10-16,2628.29,2659.27,2616.12,2616.31,53250437.0,36916599296.0
2014-10-17,2610.79,2619.89,2560.38,2597.97,40956451.0,29271631872.0
2014-10-20,2602.4,2621.28,2599.82,2620.93,29089052.0,22211097088.0
2014-10-21,2621.27,2626.88,2595.46,2598.18,28961906.0,22051128064.0
2014-10-22,2597.79,2607.5,2574.85,2576.21,26948740.0,20233308672.0
2014-10-23,2572.12,2580.7,2540.12,2546.07,33348924.0,23656194304.0
2014-10-24,2546.89,2562.05,2542.43,2547.77,24178078.0,17608353536.0
2014-10-27,2541.79,2546.32,2524.74,2541.56,24824219.0,18315549184.0
2014-10-28,2546.8,2599.48,2546.8,2599.27,32387736.0,23568435456.0
2014-10-29,2604.58,2652.23,2597.46,2645.35,51153454.0,37331011840.0
2014-10-30,2641.68,2675.49,2636.5,2668.81,61010299.0,40435177984.0
2014-10-31,2669.26,2696.31,2658.79,2691.59,95566341.0,60829547520.0
2014-11-03,2699.23,2722.4,2693.12,2714.2,65876767.0,44982456064.0
2014-11-04,2714.38,2720.13,2697.88,2712.74,61672486.0,41800843520.0
2014-11-05,2717.03,2724.42,2704.37,2705.87,58344061.0,39183451648.0
2014-11-06,2707.11,2721.3,2683.09,2720.47,48375764.0,34466877184.0
2014-11-07,2721.47,2750.06,2693.56,2707.88,74209085.0,57206841856.0
2014-11-10,2722.73,2768.25,2715.06,2768.25,83255844.0,62120163072.0
2014-11-11,2773.2,2788.62,2699.34,2725.34,127819520.0,87897477120.0
2014-11-12,2711.77,2768.7,2706.13,2768.28,67848586.0,49630270720.0
2014-11-13,2768.78,2777.29,2732.12,2753.06,74902927.0,55974322944.0
2014-11-14,2743.67,2745.24,2719.47,2741.09,50145129.0,38762174976.0
2014-11-17,2769.06,2771.82,2739.16,2748.56,54775265.0,42647276800.0
2014-11-18,2749.81,2753.25,2725.55,2736.91,53919452.0,39341795584.0
2014-11-19,2732.1,2739.31,2719.02,2725.61,39353665.0,29679198208.0
2014-11-20,2717.94,2730.1,2709.08,2726.81,35313815.0,25739895040.0
2014-11-21,2725.74,2764.26,2721.3,2763.07,50382303.0,38564468224.0
2014-11-24,2787.22,2825.98,2770.96,2810.73,89514970.0,69659561984.0
2014-11-25,2812.61,2860.18,2809.56,2860.05,72835763.0,58021306112.0
2014-11-26,2866.48,2880.12,2848.23,2879.97,88416458.0,69525172224.0
2014-11-27,2889.84,2894.66,2860.61,2889.64,95910835.0,75363606528.0
2014-11-28,2886.34,2923.83,2871.99,2923.64,152648404.0,112277155840.0
2014-12-01,2932.0,2957.34,2918.54,2935.2,141748488.0,107078930432.0
2014-12-02,2924.32,3014.76,2919.62,2999.54,149993628.0,114152656896.0
2014-12-03,3005.47,3061.94,2981.39,3032.12,179726641.0,145209663488.0
2014-12-04,3040.75,3134.98,3029.25,3133.92,173998625.0,143928922112.0
2014-12-05,3154.31,3177.95,3011.95,3109.27,231382743.0,199841660928.0
2014-12-08,3085.17,3200.38,3057.39,3188.33,209169336.0,179014443008.0
2014-12-09,3173.7,3290.13,3048.13,3069.59,248742106.0,227311886336.0
2014-12-10,3075.4,3203.62,3044.48,3199.79,165985324.0,155911741440.0
2014-12-11,3188.21,3260.85,3174.3,3225.46,132209037.0,128368640000.0
2014-12-12,3233.1,3251.03,3214.16,3241.77,106986609.0,106925400064.0
2014-12-15,3241.01,3276.51,3204.83,3268.46,116475730.0,102428749824.0
2014-12-16,3271.12,3319.11,3257.25,3318.86,148427830.0,139015610368.0
